"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"no","renovated","no",47.5099619,19.1217238,14,120000,2,54,"https://ingatlan.jofogas.hu/budapest/2_szobas_54m2_es_butorozott_lakas_kiado_Zugloban_78735171.htm",5635.36695646769,183.829413239405,336.989551931883
"no","renovated","yes",47.5211027,19.0337768,2,125000,2,51,"https://ingatlan.jofogas.hu/budapest/2_szobas__Panoramas_lakas_kiado_75803798.htm",3448.4887144395,144.599465067765,230.571875490231
NA,"renovated","no",47.5358656,19.0765416,13,120000,2,46,"https://ingatlan.jofogas.hu/budapest/2_szobas__erkelyes__nyitott_konyhas_felujitott__muanyag_ablakos_46_nm_78417076.htm",5184.64018512173,227.751154888256,623.5825794031
"no","like new","yes",47.5101439,19.0655006,6,160000,2,50,"https://ingatlan.jofogas.hu/budapest/2_szobas_geotermikus_futesu_hutesu_butorozott_76993229.htm",2232.48533135109,241.478537224699,305.833674248101
"no","good","no",47.557891,19.0870035,4,110000,2,52,"https://ingatlan.jofogas.hu/budapest/2_szobas_klimas_lakas_kerti_auto_bealloval_kiado_78566227.htm",7755.98084450565,127.574310701279,306.778664956451
"no","renovated","no",47.500342,19.0691348,7,140000,2,53,"https://ingatlan.jofogas.hu/budapest/2_szobas_lakas_a_Blaha_Lujza_ternel_78395920.htm",1594.8241586833,26.2087962982479,30.064515918666
"no","newly built","yes",47.4894243,19.0704408,8,150000,2,45,"https://ingatlan.jofogas.hu/budapest/2_szobas_lakas_a_Corvin_mogott_kiado_76446965.htm",1473.39663031704,58.8399119709222,61.2562014205146
"no","renovated","yes",47.5218028,19.0564222,13,140000,2,54,"https://ingatlan.jofogas.hu/budapest/2_szobas_lakas_kiado_a_Szent_Istvan_parknal_77534659.htm",3283.85615815291,180.515324073528,514.550193728567
"yes","good","yes",47.529778,19.0808857,13,140000,2,51,"https://ingatlan.jofogas.hu/budapest/2_szobas_lakas_kiado_a_Visegradi_utcaban_78805396.htm",4705.26459570807,47.5328437037084,47.5328437037084
"no","renovated","no",47.5107122,19.0746544,6,125000,1,30,"https://ingatlan.jofogas.hu/budapest/30_8_m2_es__felujitott__azonnal_kotozheto_lakas__Kiraly_utca_78348317.htm",2677.97016914993,176.616352539389,176.616352539389
"no","newly built","yes",47.4786055,19.079665,9,110000,1,30,"https://ingatlan.jofogas.hu/budapest/30_m2_vilagos_2006_os_epitesu_lakas_kiado_IX__kerulet_Erno_utcaban_76440803.htm",2630.02076837201,276.030034530011,276.030034530011
"no","like new","yes",47.4797508,19.0480023,8,125000,1,30,"https://ingatlan.jofogas.hu/budapest/30_nm_es_lakas_kiado_a_Harminckettesek_teren_79187749.htm",1441.92007615171,262.266994556359,270.903121201567
"no","like new","yes",47.540151,19.0343802,3,1e+05,1,32,"https://ingatlan.jofogas.hu/budapest/32_m2_garzon_kiado_Obudan__a_fonodo_es_az_1_es_villamos_vegallomasanal_78735582.htm",5456.44750056128,248.850338287092,262.779156880451
"only small pets","good","yes",47.4813044,19.0758794,9,110000,1,34,"https://ingatlan.jofogas.hu/budapest/34_nm_es_Tompa_utcai_belso_udvarra_nezo_lakas_kiado_78231109.htm",2224.24802106115,209.816433066269,247.383995316179
NA,"good","no",47.5211027,19.0337768,2,90000,1,34,"https://ingatlan.jofogas.hu/budapest/34_nm_foldszinten_Zsigmond_teri_garzon_90_EFt__ert_kiado_79224240.htm",3448.4887144395,144.599465067765,230.571875490231
"no","like new","no",47.4842928,19.0621604,9,110000,1,38,"https://ingatlan.jofogas.hu/budapest/38_m2_es_lakas_kiado_78558229.htm",1221.15518089237,47.7995695992838,149.448207092242
NA,"like new","yes",47.53001,19.077466,13,135000,1,38,"https://ingatlan.jofogas.hu/budapest/38_nm_es_lakas_kiado_Budapest_13__ker_77853043.htm",4613.0326309435,183.424654998992,221.849855783402
"no","renovated","no",47.5107122,19.0746544,6,220000,4,90,"https://ingatlan.jofogas.hu/budapest/3_1_szobas_lakas_kiado_a_Lovolde_ternel_77119176.htm",2677.97016914993,176.616352539389,176.616352539389
"no","renovated","no",47.5582067,19.0452571,3,120000,1,36,"https://ingatlan.jofogas.hu/budapest/3__ker__Bogdani_uton_kulturalt_teglaepuletben_36m2_es_1sz__lak__kiado__77279177.htm",7328.94540328509,159.543468457016,159.543468457016
"no","renovated","yes",47.5917729,19.0582595,3,125000,1,51,"https://ingatlan.jofogas.hu/budapest/3__kerulet__Bekasmegyeri_lakotelep_hegy_felol_51nm_78636881.htm",11063.0623389217,362.467278405635,755.103937636403
